künstl_Saison;VA_Projekt;VATyp;Datum_von;Datum_bis;VA_Raum;Aktivitätsstatus;VA_Titel;Anzeige_Besetzung;Anzeige_Programm;Abo's
2007/08 K;Konzerthausorchester H2  (2007/08 K);KHB;04.01.2008 20:00;04.01.2008 22:30;Kleiner Saal;Konzert;Kammermusik des Konzerthausorchesters Berlin;"Evgeny Vapnyarsky Violine
Teresa Kammerer Violine
Amalia Arnoldt Viola
Nerina Mancini Violoncello
Cornelia Dill Violine
Hans-Georg Dill Violoncello
Mariko Mitsuyu Klavier";"Antonín Dvořák Terzett für zwei Violinen und Viola C-Dur op. 74
Bedřich Smetana Klaviertrio g-Moll op. 15
Alexander Borodin Streichquartett Nr. 1 A-Dur";Abo H
2007/08 K;Liebeslieder-Walzer 2007/08 (2007/08 K);KHB;06.01.2008 20:00;06.01.2008 22:30;Kleiner Saal;Konzert;Konzert;"Marlis Petersen Sopran
Stella Doufexis Alt
Werner Güra Tenor
Konrad Jarnot Bass
Christoph Berner Klavier
Camillo Radicke Klavier";"Johannes Brahms „Liebeslieder-Walzer“ op. 52
Johannes Brahms Drei Quartette für vier Singstimmen und Klavier op. 64
Johannes Brahms „Neue Liebeslieder-Walzer“ op. 65";
2007/08 K;Musikfilme (2007/08 K);KHBKoop;07.01.2008 18:00;07.01.2008 21:00;Musikclub;Konzert;„Der Blick auf den Klang - Musikfilmregisseure präsentieren...“;;;
2007/08 K;Streichquartett International (2007/08 K);KHB;08.01.2008 20:00;08.01.2008 22:30;Kleiner Saal;Konzert;Konzert;Belcea Quartet;"Joseph Haydn Streichquartett G-Dur op. 77 Nr. 1 Hob III:81
Anton Webern Fünf Sätze für Streichquartett op. 5
Franz Schubert Streichquartett G-Dur op. post. 161 D 887";Abo StQI
2007/08 K;Freundeskreis Konzerthaus Berlin 07/08 (2007/08 K);KHB;09.01.2008 19:00;09.01.2008 21:00;Musikclub;Diskussionsveranstaltung;Zu Gast beim Freundeskreis:;;;
2007/08 K;Konzerthausorchester A3 (2007/08 K);KHB;10.01.2008 20:00;10.01.2008 22:30;Großer Saal;Konzert;Konzert;"Konzerthausorchester Berlin
Eliahu Inbal
Jing Zhao Violoncello";"Ernest Bloch „Schelomo“ - Hebräische Rhapsodie für Violoncello und Orchester
Dmitri Schostakowitsch Sinfonie Nr. 11 g-Moll op. 103 („Das Jahr 1905“)";Abo A
2007/08 K;Konzerthausorchester A3 (2007/08 K);KHB;11.01.2008 20:00;11.01.2008 22:30;Großer Saal;Konzert;Konzert;"Konzerthausorchester Berlin
Eliahu Inbal
Jing Zhao Violoncello";"Ernest Bloch „Schelomo“ - Hebräische Rhapsodie für Violoncello und Orchester
Dmitri Schostakowitsch Sinfonie Nr. 11 g-Moll op. 103 („Das Jahr 1905“)";Abo A
2007/08 K;Orgelkonzerte (2007/08 K);KHB;12.01.2008 15:30;12.01.2008 17:30;Großer Saal;Konzert;Konzert;Hannfried Lucke Orgel;"Johann Ludwig Krebs Toccata E-Dur
Johann Sebastian Bach Concerto a-Moll BWV 1065 (nach Antonio Vivaldi), für Orgel bearbeitet von Guy Bovet
Felix Mendelssohn Bartholdy Sonate f-Moll op. 65 Nr. 1
Johannes Brahms Variationen über ein Thema von Joseph Haydn op. 56, für Orgel bearbeitet von Lionel Rogg
Maurice Duruflé Scherzo op. 2
Louis Vierne Final D-Dur aus der Sinfonie für Orgel Nr. 1 d-Moll op. 14";
2007/08 K;Papageno spielt auf der Zauberflöte (2007/08 K);KHB;12.01.2008 15:30;12.01.2008 17:00;Musikclub;Konzert;„Papageno spielt auf der Zauberflöte“;;;
2007/08 K;Konzerthausorchester A3 (2007/08 K);KHB;12.01.2008 20:00;12.01.2008 22:30;Großer Saal;Konzert;Konzert;"Konzerthausorchester Berlin
Eliahu Inbal
Jing Zhao Violoncello";"Ernest Bloch „Schelomo“ - Hebräische Rhapsodie für Violoncello und Orchester
Dmitri Schostakowitsch Sinfonie Nr. 11 g-Moll op. 103 („Das Jahr 1905“)";Abo A
2007/08 K;Stummfilm KNM 07/08 (2007/08 K);KHB;12.01.2008 20:00;12.01.2008 23:00;Werner-Otto-Saal;Konzert;"Stummfilm mit Livemusik

„Die Abenteuer des Prinzen Achmed“
Silhouettenfilm von Lotte Reiniger 
Deutschland 1926
Musik von Wolfgang Zeller (1926) in der Bearbeitung für Kammerorchester von Jens Schubbe";"modern art ensemble
Gerd Herklotz Musikalische Leitung";;
2007/08 K;Konzerthausorchester M4  (2007/08 K);KHB;13.01.2008 11:00;13.01.2008 13:30;Kleiner Saal;Konzert;Matinee des Konzerthausorchesters Berlin;"Alexandra Kehrle Klarinette
Franziska Haußig Fagott
Michail Sekler Violine
Hendrik Heilmann Klavier
Adriana Porteanu Violine
Damien Ventula Violoncello
Anna Kirichenko Klavier";"Michail Glinka „Trio pathétique“ für Klarinette, Fagott und Klavier d-Moll
Edvard Grieg Sonate für Violine und Klavier c-Moll op. 45
Ludwig van Beethoven Klaviertrio B-Dur op. 97";Abo M
2007/08 K;Papageno spielt auf der Zauberflöte (2007/08 K);KHB;13.01.2008 15:30;13.01.2008 17:00;Musikclub;Konzert;„Papageno spielt auf der Zauberflöte“;;;
2007/08 K;Stummfilm KNM 07/08 (2007/08 K);KHB;13.01.2008 15:30;13.01.2008 18:00;Werner-Otto-Saal;Konzert;"Stummfilm mit Livemusik

„Die Abenteuer des Prinzen Achmed“
Silhouettenfilm von Lotte Reiniger 
Deutschland 1926
Musik von Wolfgang Zeller (1926) in der Bearbeitung für Kammerorchester von Jens Schubbe";"modern art ensemble
Gerd Herklotz Musikalische Leitung";;
